"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"270",2013-09-01,2013,9,"PE25",235480,7,62.585,33,0,315.025
"271",2013-10-01,2013,10,"PE16",446868,103,114.541,58,0,584.175
"272",2013-10-01,2013,10,"PE17",61776,19,17.596,10,0,84
"273",2013-10-01,2013,10,"PE20",738144,5,58.299,27,0,307.1
"274",2013-10-01,2013,10,"PE22",342603,43,162.47,76,1,863.574999999999
"275",2013-10-01,2013,10,"PE24",87342,5,3.723,2,0,19
"276",2013-10-01,2013,10,"PE25",235480,14,106.446,49.5,1,480.024999999999
"277",2013-11-01,2013,11,"PE16",446868,281,192.384,103,1,895.175
"278",2013-11-01,2013,11,"PE17",61776,69,35.87,21,0,157.05
"279",2013-11-01,2013,11,"PE20",738144,6,55.482,25,0,270.025
"280",2013-11-01,2013,11,"PE22",342603,42,216.59,101,1.975,1201.25
"281",2013-11-01,2013,11,"PE24",87342,3,3.062,1,0,16
"282",2013-11-01,2013,11,"PE25",235480,39,260.241,117,1,1295.475
"283",2013-12-01,2013,12,"PE16",446868,218,286.372,149.5,2,1285.2
"284",2013-12-01,2013,12,"PE17",61776,39,32.181,18.5,0,150
"285",2013-12-01,2013,12,"PE20",738144,2,56.971,28,0,272.225
"286",2013-12-01,2013,12,"PE22",342603,41,264.37,130.5,2,1355.725
"287",2013-12-01,2013,12,"PE24",87342,0,3.119,2,0,15
"288",2013-12-01,2013,12,"PE25",235480,50,347.393,170,2,1657.75
"289",2014-01-01,2014,1,"PE16",446868,454,497.288,270,2,2106.625
"290",2014-01-01,2014,1,"PE17",61776,72,9.89,5,0,44.025
"291",2014-01-01,2014,1,"PE20",738144,1,207.862,98,1,1038.35
"292",2014-01-01,2014,1,"PE22",342603,158,176.508,80.5,0.975000000000001,956.05
"293",2014-01-01,2014,1,"PE24",87342,25,28.136,15,0,134
"294",2014-01-01,2014,1,"PE25",235480,64,279.641,137,1,1468.225
"295",2014-02-01,2014,2,"PE16",446868,560,409.65,235,2,1808.275
"296",2014-02-01,2014,2,"PE17",61776,38,8.475,4,0,43.025
"297",2014-02-01,2014,2,"PE20",738144,5,400.976,201,2,1870.675
"298",2014-02-01,2014,2,"PE22",342603,200,165.111,79,1,914.175
"299",2014-02-01,2014,2,"PE24",87342,18,46.717,25,0,235.15
"300",2014-02-01,2014,2,"PE25",235480,43,205.798,107,1,1069.575
"301",2014-03-01,2014,3,"PE16",446868,364,322.368,158.5,3,1482.375
"302",2014-03-01,2014,3,"PE17",61776,28,7.904,5,0,33
"303",2014-03-01,2014,3,"PE20",738144,68,758.641,378,5,3773.6
"304",2014-03-01,2014,3,"PE22",342603,143,161.209,74,0,739.125
"305",2014-03-01,2014,3,"PE24",87342,23,77.056,43,0,361.075
"306",2014-03-01,2014,3,"PE25",235480,53,113.998,51,0,583.899999999999
"307",2014-04-01,2014,4,"PE16",446868,241,235.24,128,1,1153.575
"308",2014-04-01,2014,4,"PE17",61776,34,7.765,4,0,35
"309",2014-04-01,2014,4,"PE20",738144,76,1411.736,643,6,7497.09999999999
"310",2014-04-01,2014,4,"PE22",342603,32,141.941,72.5,0,701.175
"311",2014-04-01,2014,4,"PE24",87342,21,111.081,58.5,0,490.25
